id,name_ar,weight ,descrption,price before tax,price after,kcl /100g,ingridiance,categries_ar
1,كارمنسيتا لحمه ,75,,50,44,Nutritional information (100 g):,"Salt, paprika, rosemary, pepper, savory, nutmeg, caraway and flavours",توابل
3,كارمنسيتا جنزبيل ,35g,,35,33,Energy: 478 kJ / 114 kcal,,توابل
4,كارمنسيتا استيك ,66g,,87,85,Fat: 2.2 g,,توابل
5,كارمنسيتا فلفل ابيض ,50g,,45,43,Content: 50 g,White pepper.,توابل
6,كارمنسيتا ريحان,16g,,39,37,Nutritional information (100 g):,Dehydrated spices.,توابل
7,كارمنسيتا سمك,,,48,30,Energy: 310 kJ / 75 kcal,,توابل
8,كارمنسيتا اوريغانو,8,,39,37,Fat: 2.0 g,Dehydrated spices,توابل
9,كارمنسيتا جوزالطيب ,50g,,79,71,of which saturated: 0.8 g,Dehydrated spices.,توابل
10,كارمنسيتا زعتر ,20,,39,37,Carbohydrates: 7.2 g,Dehydrated spices,توابل
11,كارمنسيتا فراخ ,75g,,48,33,of which sugar: 3.5 g,Dehydrated spices.,توابل
12,كارمنسيتا روز ماري ,25g,,34,32,Proteins: 2.0 g,Dehydrated spices.,توابل
13,كارمنسيتا بقدونس ,12g,,39,37,Salt: 7.3 g,Dehydrated spices.,توابل
14,كارمنسيتا بصل,38g,,49,34,,Dehydrated spices.,توابل
15,كارمنسيتا ثوم ,60,,43,30,,Dehydrated spices.,توابل
16,كارمنسيتا كمون ,47g,,47,39,,Dehydrated spices.,توابل
18,كارمنسيتا باربيكيو ,62,,105,97,,dehydrate ,توابل
19,كارمنسيتا بيتزا اند باستا ,40g,,87,81,,,توابل
20,جراينس جبنة,110,,54,47,,,توابل
21,جراينس ثوم ,110,,54,47,,,توابل
22,جراينس رقائق الخبز ,110,,54,47,,,توابل
23,جراينس تاكو ,110,,54,47,,,توابل
24,جراينس كاجون,110,,54,47,,,توابل
25,جراينس خضار,110,,60,47,,,توابل
26,جراينس ايطاليان,110,,60,47,,,توابل
28,جراينس تكساس باربيكيو ,110,,60,47,,,توابل
29,جراينس فلفل وليمون ,110,,60,47,,,توابل
30,جراينس شيبوتلي,110,,60,47,,,توابل
31,جراينس رانش,110,,60,47,,,توابل
31,جراينس جارك,110,,60,47,,,توابل
32,Grains ,110,,54,47,,,توابل
33,Grains ,110,,54,47,,,توابل
34,جراينس جزر,110,,65,57,,,توابل
35,Grains ,110,,54,47,,,توابل
36,Grains ,110,,54,47,,,توابل
37,جراينس رقائق شيلي,110,,45,38,,,توابل
38,Grains ,110,,54,47,,,توابل
39,جراينس شبت,110,,28,20,,,توابل
40,جراينس ليمون,110,,65,57,,,توابل
41,جراينس بردقوش,110,,54,47,,,توابل
42,جراينس مستردة,110,,33,26,,,توابل
43,جراينس برتقال,110,,65,57,,,توابل
44,جراينس تشيميتشوري,110,,54,47,,,توابل
45,جراينس جوز الهند,110,,54,47,,,توابل
46,جراينس باربيكيو بالعسل,110,,54,47,,,توابل
47,جراينس ليمون بيبر ,110,,54,47,,,توابل
48,جراينس عسل بالباربيكيو,110,,54,47,,,توابل
49,جراينس حار ,110,,54,47,,,توابل
50,جراينس سريراتشا مانجو,110,,54,47,,,توابل
51,جراينس استيك,110,,60,47,,,توابل
52,جراينس فراخ ,110,,54,47,,,توابل
53,جراينس رقائق الفلفل,110,,90,47,,,توابل
54,جراينس بروقوش,110,,20,20,,,توابل
55,جراينس ريب ارب ,110,,60,47,,,توابل
56,جراينس جبنة,110,,60,47,,,توابل
57,مهران تكا ,1000,,145,100,,,توابل
58,مهران فراخ ,1000,,145,100,,,توابل
59,مهران شاورما ,1000,,145,100,,,توابل
60,مهران باربيكيو ,1000,,145,100,,,توابل
61,ملاحه برياني ,125,,55,53,,,توابل
62,ملاحه فلفل ابيض,100,,55,53,,,توابل
63,ملاحه سمك مقلي ,125,,55,53,,,توابل
64,ملاحه شاورما ,100,,55,53,,,توابل
65,فراخ بالذبدة ,50,,26,24,,,توابل
66,تكا,50,,26,24,,,توابل
67,برياني ,50,,26,24,,,توابل
68,لحم مقلي ,50,,26,24,,,توابل
69,لحم بالذبدة ,50,,26,24,,,توابل
70, بايا كوارع ,50,,26,24,,,توابل
71,كباب شامي ,50,,26,24,,,توابل
72,سيخ كباب ,50,,26,24,,,توابل
73,دجاج بالذبدة ,50,,26,24,,,توابل
74,مرقة الدجاج ,1000,,99,97,,,توابل
75,مرقة مكعبات ,960,,89,87,,,توابل
76,مرقة خضار ,1000,,89,87,,,توابل
77,مرقة لحم ,1000,,115,113,,,توابل
78,ديمي جلاس ,750,,215,213,,,توابل
79,شرق اقصي ,800,,219,217,,,توابل
80,كريمه مشروم ,1000,,159,157,,,توابل
81,كريمه الدجاج ,1000,,156,154,,,توابل
82,مسحوق الليمون ,400,,124,122,,,توابل
83,مكس جريل ,1000,,319,317,,,توابل
84,مستكة يوناني ,10,,99,94,,,توابل
85,حبهان ,100,,75,73,,,توابل
86,قرنفل ,100,,65,63,,,توابل
87,قرفه ,100,,65,53,,,توابل
88,بابريكا سايب ,100,,30,28,,,توابل
89,سماق ,100,,20,18,,,توابل
90,رز الغزال ,1000,,60,58,,,توابل
91,صوص صويا لايت,500,,84,76,,,توابل
92,صوص صويا دارك,500,,84,76,,,صوص
93,سويت شيلي تيلاندي ,750,,99,92,,,صوص
94,صوص السمك ,500,,109,107,,,صوص
95,اويستر تيلاندي ,500,,125,105,,,صوص
96,ورشيستر ,500,,119,107,,,صوص
97,اويستر هاينز ,500,,84,77,,,صوص
98,سريراتشا ,740,,149,132,,,صوص
99,سويت اند ساور,290,,73,67,,,صوص
100,هويسن,440,,101,92,,,صوص
101,سويت شيلي هاينز,240,,53,51,,,صوص
102,صويا صوص احمر ,150,,42,40,,,صوص
103,صويا فاتح ,150,,42,40,,,صوص
104,صويا غامق,150,,42,40,,,صوص
105,ترياكي,295,,125,105,,,صوص
,,,,,,,,
,,,,,,,,
,,,,,,,,
109,معجون تندوري,340,,108,97,,,معجون
110,طماطم مجففه,370,,76,68,,,معجون
112,صوص تباسكو,60,,117,110,,,صوص
113,صوص الديمي جلاس,750,,230,215,,,صوص
114,مخلل كابري,100,,47,39,,,صوص
115,بطاطس بيوريه,2000,,405,400,,,توابل
116,سماق ,100,,20,18,,,توابل
117,شاي اخضر بالنعناع,25,,80,74,,,شاي
118,شاي ايرل جراي ,25,,80,74,,,شاي
119,شاي بريكفاست,25,,80,74,,,شاي
120,شاي سانشا بالنعاع,25,,80,74,,,شاي
121,شاي فواكه بريه ,25,,80,74,,,شاي
122,شاي كاموميل,25,,80,74,,,شاي
123,شاي نعناع,,,80,74,,,شاي
125,  معجون التمر الهندي  ,,,75,73,,,معجون
126,معجون كاري اخضر ,,,135,122,,,معجون
127,معجون مسترده حب,350,,84,78,,,معجون
128,طماطم مجففه بيستو,,,62,54,,,معجون
129, خل تفاح,500,,75,73,,,صوص
130, خل بلسمك,500,,74,72,,,صوص
131,   معجون كاري اخضر ,400,,135,120,,,معجون
132,طماطم مجففه,370,,76,68,,,معجون
133,  دقيق التمبورا ,1000,,135,117,,,نشويات
134,  رقائق البانكو,1000,,180,157,,,نشويات
